NAME,ROME_CODE_INSIDE,ROME_CODE_OUTSIDE,CODE,NUMBER
土家族,Tujia,Tujia,TJ,15
土族,Tu,Tu,TU,30
门巴族,Monba,Monba,MB,54
水族,Sui,Sui,SU,5
毛南族,Maonan,Maonan,MN,6
乌孜别克族,Uzbek,Uzbek,UZ,3
布依族,Buyei,Buyei,BY,09
布朗族,Blang,Blang,BL,34
东乡族,Dongxiang,Dongxiang,DX,26
忆佬族,Gelao,Gelao,GL,37
松佬族,Mulao,Mulao,ML,32
白族,Bai,Bai,BA,14
汉族,Han,Han,HA,01
达斡尔族,Daur,Daur,DU,31
回族,Hui,Hui,HU,03
低族,Va,Va,VA,21
壮族,Zhuang,Zhuang,ZH,08
羌族,Qiang,Qiang,QI,33
阿昌族,Achang,Achang,AC,39
纳西族,Naxi,Naxi,NX,27
拉枯族,Lahu,Lahu,LH,24
苗族,Miao,Miao,MH,06
侗族,Dong,Dong,DO,12
京族,Gin,Gin,GI,49
柯尔克孜族,Kirgiz,Kirgiz,KG,29
哈尼族,Hani,Hani,HN,16
哈萨克族,Kazak,Kazak,KZ,17
保安族,Bonan,Bonan,BN,47
俄罗斯族,Russ,Russ,RS,44
独龙族,Derung,Derung,DR,51
怒族,Nu,Nu,NU,42
路巴族,Lhoba,Lhoba,LB,55
高山族,Gaoshan,Gaoshan,GS,23
基诺族,Jino,Jino,JN,56
鄂伦春族,Oroqen,Oroqen,OR,52
鄂温克族,Ewenki,Ewenki,EW,45
维吾尔族,Uygur,Uygur,UG,05
塔吉克族,Tajik,Tajik,TA,41
塔塔尔族,Tatar,Tatar,TT,50
朝鲜族,Chosen,Korean,CS,10
景颇族,Jingpo,Jingpo,JP,28
傣族,Dai,Dai,DA,18
傈僳族,Lisu,Lisu,LS,20
舍族,She,She,SH,22
普米族,Pumi,Pumi,PM,40
裕固族,Yugur,Yugur,YG,48
蒙古族,Mongol,Mongol,MG,02
锡伯族,Xibe,Xibe,XB,38
满族,Man,Man,MA,11
瑶族,Yao,Yao,YA,13
赫哲族,Hezhen,Hezhen,HZ,53
撒拉族,Salar,Salar,SL,35
德昂族,Deang,Deang,DE,46
黎族,Li,Li,LI,19
藏族,Zang,Tibetan,ZA,04
彝族,Yi,Yi,YI,07